id	qrCode	productName	category	brand	modelNumber	serialNumber	rentalPrice
STLR-MIC-004	STLR-MIC-004	RODE Wireless GO 1	Wireless Mic	RODE	RODE GO 1	STLRODEGO001	400
STLR-MIC-005	STLR-MIC-005	RODE Wireless GO 2	Wireless Mic	RODE	RODE GO 2	STLRODEGO002	500
STLR-MIC-006	STLR-MIC-006	RODE Wireless Pro	Wireless Mic	RODE	RODE PRO	STLRODEP001	500
STLR-MIC-007	STLR-MIC-007	RODE NTG3 Shotgun Mic	Wireless Mic	RODE	RODE NTG3	STLNTG3001	700
STLR-MIC-008	STLR-MIC-008	RODE Wireless Pro with Lav	Wireless Mic	RODE	RODE PRO WITH LAV	STLRODEPWL01	700
STLR-MIC-009	STLR-MIC-009	Hollyland Solidcom Full Kit	Wireless Mic	Hollyland	Hollyland Solidcom	STLRHL00801	2400
STLR-MIC-010	STLR-MIC-010	Hollyland Solidcom 	Wireless Mic	Hollyland	Hollyland Solidcom	STLRHL001	300
STLR-MIC-011	STLR-MIC-011	Hollyland Solidcom 	Wireless Mic	Hollyland	Hollyland Solidcom	STLRHL002	300
STLR-MIC-012	STLR-MIC-012	Hollyland Solidcom 	Wireless Mic	Hollyland	Hollyland Solidcom	STLRHL003	300
STLR-MIC-013	STLR-MIC-013	Hollyland Solidcom 	Wireless Mic	Hollyland	Hollyland Solidcom	STLRHL004	300
STLR-MIC-014	STLR-MIC-014	Hollyland Solidcom 	Wireless Mic	Hollyland	Hollyland Solidcom	STLRHL005	300
STLR-MIC-015	STLR-MIC-015	Hollyland Solidcom 	Wireless Mic	Hollyland	Hollyland Solidcom	STLRHL006	300
STLR-MIC-016	STLR-MIC-016	Hollyland Solidcom 	Wireless Mic	Hollyland	Hollyland Solidcom	STLRHL007	300
STLR-MIC-017	STLR-MIC-017	Hollyland Solidcom 	Wireless Mic	Hollyland	Hollyland Solidcom	STLRHL008	300
STLR-MIC-018	STLR-MIC-018	Zoom H6 Handy Recorder	Wireless Mic	Zoom 	ZOOM H6	STLRZH6001	700
STLR-BTRY-001	STLR-BTRY-001	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10001	200
STLR-BTRY-002	STLR-BTRY-002	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10002	200
STLR-BTRY-003	STLR-BTRY-003	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10003	200
STLR-BTRY-004	STLR-BTRY-004	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10004	200
STLR-BTRY-005	STLR-BTRY-005	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10005	200
STLR-BTRY-006	STLR-BTRY-006	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10006	200
STLR-BTRY-007	STLR-BTRY-007	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10007	200
STLR-BTRY-008	STLR-BTRY-008	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10008	200
STLR-BTRY-009	STLR-BTRY-009	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10009	200
STLR-BTRY-010	STLR-BTRY-010	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10010	200
STLR-BTRY-011	STLR-BTRY-011	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10011	200
STLR-BTRY-012	STLR-BTRY-012	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10012	200
STLR-BTRY-013	STLR-BTRY-013	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10013	200
STLR-BTRY-014	STLR-BTRY-014	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10014	200
STLR-BTRY-015	STLR-BTRY-015	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10015	200
STLR-BTRY-016	STLR-BTRY-016	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10016	200
STLR-BTRY-017	STLR-BTRY-017	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10017	200
STLR-BTRY-018	STLR-BTRY-018	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10018	200
STLR-BTRY-019	STLR-BTRY-019	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10019	200
STLR-BTRY-020	STLR-BTRY-020	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10020	200
STLR-BTRY-021	STLR-BTRY-021	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10021	200
STLR-BTRY-022	STLR-BTRY-022	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10022	200
STLR-BTRY-023	STLR-BTRY-023	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10023	200
STLR-BTRY-024	STLR-BTRY-024	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10024	200
STLR-BTRY-025	STLR-BTRY-025	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10025	200
STLR-BTRY-026	STLR-BTRY-026	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10026	200
STLR-BTRY-027	STLR-BTRY-027	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10027	200
STLR-BTRY-028	STLR-BTRY-028	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10028	200
STLR-BTRY-029	STLR-BTRY-029	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10029	200
STLR-BTRY-030	STLR-BTRY-030	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10030	200
STLR-BTRY-031	STLR-BTRY-031	Sony Battery	Battery	Sony	Sony NP-FZ100	STLRSBFZ10031	200
STLR-SD-001	STLR-SD-001	SandDisk 64GB	SD Card	Sandisk	64GB Extreme Pro	STLRSD64001	100
STLR-SD-002	STLR-SD-002	SandDisk 64GB	SD Card	Sandisk	64GB Extreme Pro	STLRSD64002	100
STLR-SD-003	STLR-SD-003	SandDisk 64GB	SD Card	Sandisk	64GB Extreme Pro	STLRSD64003	100
STLR-SD-004	STLR-SD-004	SandDisk 64GB	SD Card	Sandisk	64GB Extreme Pro	STLRSD64004	100
STLR-SD-005	STLR-SD-005	SandDisk 64GB	SD Card	Sandisk	64GB Extreme Pro	STLRSD64005	100
STLR-SD-006	STLR-SD-006	SandDisk 64GB	SD Card	Sandisk	64GB Extreme Pro	STLRSD64006	100
STLR-SD-007	STLR-SD-007	SandDisk 64GB	SD Card	Sandisk	64GB Extreme Pro	STLRSD64007	100
STLR-SD-008	STLR-SD-008	SandDisk 64GB	SD Card	Sandisk	64GB Extreme Pro	STLRSD64008	100
STLR-SD-009	STLR-SD-009	SandDisk 64GB	SD Card	Sandisk	64GB Extreme Pro	STLRSD64009	100
