id	qrCode	productName	category	brand	modelNumber	serialNumber	rentalPrice
STLR-STAND-19	STLR-STAND-19	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND019	100
STLR-STAND-20	STLR-STAND-20	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND020	100
STLR-STAND-21	STLR-STAND-21	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND021	100
STLR-STAND-22	STLR-STAND-22	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND022	100
STLR-STAND-23	STLR-STAND-23	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND023	100
STLR-STAND-24	STLR-STAND-24	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND024	100
STLR-STAND-25	STLR-STAND-25	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND025	100
STLR-STAND-26	STLR-STAND-26	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND026	100
STLR-STAND-27	STLR-STAND-27	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND027	100
STLR-STAND-28	STLR-STAND-28	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND028	100
STLR-STAND-29	STLR-STAND-29	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND029	100
STLR-STAND-30	STLR-STAND-30	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND030	100
STLR-STAND-31	STLR-STAND-31	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND031	100
STLR-STAND-32	STLR-STAND-32	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND032	100
STLR-STAND-33	STLR-STAND-33	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND033	100
STLR-STAND-34	STLR-STAND-34	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND034	100
STLR-STAND-35	STLR-STAND-35	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND035	100
STLR-STAND-36	STLR-STAND-36	Heavy Stand	Stand	Simpex	Heavy Stand	STLRSTND036	100
STLR-STAND-37	STLR-STAND-37	Light Stand	Stand	Simpex	Light Stand	STLRSTND037	100
STLR-STAND-38	STLR-STAND-38	Light Stand	Stand 	Simpex	Light Stand	STLRSTND038	100
STLR-STAND-39	STLR-STAND-39	Light Stand	Stand	Simpex	Light Stand	STLRSTND039	100
STLR-STAND-40 	STLR-STAND-40 	Light Stand	Stand	Simpex	Light Stand	STLRSTND040	100
STLR-STAND-41	STLR-STAND-41	Boom Stand / C-Stand	Stand	Harisson	Boom Stand	STLRSTND041	200 this is a data .analyse this data and create categories , products and units(serials) create data . qr code should have value that is on id or qr code. there should be an option for super admin panel to view all qr code of all serial numbers page.single single qr code or total qr code bulk download should be there for super admin panle.
